date,holiday
2022-01-01,New Year's Day
2022-04-09,Araw ng Kagitingan
2022-04-14,Maundy Thursday
2022-04-15,Good Friday
2022-05-01,Labor Day
2022-05-03,Feast of Ramadhan
2022-06-12,Independence Day
2022-07-09,Feast of Sacrifice
2022-08-29,National Heroes Day
2022-11-30,Bonifacio Day
2022-12-25,Christmas Day
2022-12-30,Rizal Day
2022-02-01,Chinese New Year
2022-02-25,EDSA People Power Revolution Anniversary
2022-04-16,Black Saturday
2022-05-09,National and Local Elections
2022-08-21,Ninoy Aquino Day
2022-10-31,Proclamation No. 79
2022-11-01,All Saints' Day
2022-12-08,Feast of the Immaculate Conception of Mary
