datetime,temp
2022-01-01,26.7
2022-01-02,26.2
2022-01-03,26.6
2022-01-04,26.8
2022-01-05,26.6
2022-01-06,26.3
2022-01-07,26.7
2022-01-08,27.1
2022-01-09,27.3
2022-01-10,27.3
2022-01-11,27.5
2022-01-12,25.9
2022-01-13,26.1
2022-01-14,25.3
2022-01-15,25.5
2022-01-16,25.7
2022-01-17,25.3
2022-01-18,24.8
2022-01-19,25.6
2022-01-20,26.4
2022-01-21,26.6
2022-01-22,28
2022-01-23,27.4
2022-01-24,26.6
2022-01-25,27
2022-01-26,26.2
2022-01-27,27.5
2022-01-28,28.1
2022-01-29,27.5
2022-01-30,26.8
2022-01-31,27.5
2022-02-01,27.3
2022-02-02,27.2
2022-02-03,27.2
2022-02-04,27.6
2022-02-05,27.5
2022-02-06,27.5
2022-02-07,27.3
2022-02-08,27.8
2022-02-09,28.1
2022-02-10,27.8
2022-02-11,27.6
2022-02-12,27.7
2022-02-13,28
2022-02-14,27.7
2022-02-15,27.8
2022-02-16,27.6
2022-02-17,27.3
2022-02-18,27.8
2022-02-19,28.5
2022-02-20,28.6
2022-02-21,28
2022-02-22,26.5
2022-02-23,27.4
2022-02-24,28.1
2022-02-25,28.2
2022-02-26,27.7
2022-02-27,27.7
2022-02-28,28.4
2022-03-01,28.3
2022-03-02,28.2
2022-03-03,28.3
2022-03-04,28.2
2022-03-05,28.7
2022-03-06,28.5
2022-03-07,28.3
2022-03-08,28.5
2022-03-09,28.1
2022-03-10,28.5
2022-03-11,28.8
2022-03-12,29.1
2022-03-13,27.9
2022-03-14,28.2
2022-03-15,29
2022-03-16,29.4
2022-03-17,30.1
2022-03-18,29.7
2022-03-19,30.1
2022-03-20,30.5
2022-03-21,29.9
2022-03-22,30.2
2022-03-23,30.1
2022-03-24,30.2
2022-03-25,30.1
2022-03-26,30.6
2022-03-27,30
2022-03-28,30.1
2022-03-29,30.1
2022-03-30,30
2022-03-31,30.3
2022-04-01,29.4
2022-04-02,29.3
2022-04-03,28.6
2022-04-04,28.8
2022-04-05,25.6
2022-04-06,27.2
2022-04-07,28.5
2022-04-08,27.7
2022-04-09,28.8
2022-04-10,28.5
2022-04-11,28.9
2022-04-12,27.9
2022-04-13,28.4
2022-04-14,29.3
2022-04-15,29.3
2022-04-16,29
2022-04-17,28.4
2022-04-18,29.8
2022-04-19,29.1
2022-04-20,29.2
2022-04-21,30.2
2022-04-22,30.2
2022-04-23,30.4
2022-04-24,30.3
2022-04-25,29.8
2022-04-26,30.1
2022-04-27,30.1
2022-04-28,30.3
2022-04-29,30.7
2022-04-30,30.3
2022-05-01,30.5
2022-05-02,30.8
2022-05-03,30.2
2022-05-04,30.4
2022-05-05,30.9
2022-05-06,30.8
2022-05-07,31
2022-05-08,31.4
2022-05-09,30.4
2022-05-10,30.4
2022-05-11,31
2022-05-12,31.3
2022-05-13,30.9
2022-05-14,31
2022-05-15,28.6
2022-05-16,28.2
2022-05-17,27.8
2022-05-18,28
2022-05-19,27.7
2022-05-20,27.4
2022-05-21,28.1
2022-05-22,28.1
2022-05-23,28.4
2022-05-24,29.7
2022-05-25,29.5
2022-05-26,29.5
2022-05-27,29.4
2022-05-28,27.6
2022-05-29,28.6
2022-05-30,29.7
2022-05-31,28.6
2022-06-01,27.6
2022-06-02,29.2
2022-06-03,29.8
2022-06-04,29.7
2022-06-05,30
2022-06-06,29.8
2022-06-07,29.7
2022-06-08,29
2022-06-09,30.4
