transaction_id,customer_id,flight_destination,flight_date,n_guests,booking_date,total_spend,flight_type
1,1,Domestic,2022-05-25,6,2022-05-16,4927.602815,Round-Trip
2,1,Domestic,2022-12-04,4,2022-11-23,12057.89355,Round-Trip
3,2,Domestic,2022-11-10,1,2022-10-22,5278.180024,Round-Trip
4,2,Long Haul,2022-12-03,1,2022-10-01,11990.26633,One-way
5,2,Domestic,2022-12-08,1,2022-11-29,4199.343073,Round-Trip
6,2,Domestic,2022-11-06,3,2022-10-22,2693.796789,One-way
7,2,Short Haul,2022-11-22,1,2022-09-26,4108.764158,One-way
8,2,Domestic,2022-12-06,1,2022-11-22,3657.961241,One-way
9,3,Short Haul,2022-10-26,3,2022-08-28,25777.75485,Round-Trip
10,3,Domestic,2022-12-27,1,2022-12-14,2503.456675,One-way
11,4,Short Haul,2022-11-08,6,2022-09-12,47151.84413,One-way
12,4,Domestic,2022-11-26,2,2022-11-14,6564.461561,One-way
13,4,Short Haul,2022-12-07,2,2022-10-01,9833.818251,One-way
14,4,Long Haul,2022-10-12,2,2022-08-11,22870.00619,One-way
15,5,Domestic,2022-06-01,1,2022-05-12,1798.454174,One-way
16,6,Domestic,2022-12-03,1,2022-11-14,2569.722182,Round-Trip
17,6,Short Haul,2022-05-18,3,2022-03-23,19069.00938,One-way
18,6,Short Haul,2022-11-05,1,2022-09-17,16646.08676,Round-Trip
19,7,Domestic,2022-11-21,1,2022-11-05,1718.892803,Round-Trip
20,7,Domestic,2022-11-07,1,2022-10-25,1000,One-way
21,7,Domestic,2022-05-11,3,2022-04-24,5679.060131,One-way
22,8,Domestic,2022-04-25,4,2022-04-05,8151.204667,Round-Trip
23,8,Domestic,2022-12-07,4,2022-11-23,4847.884303,One-way
24,9,Domestic,2022-11-04,2,2022-10-23,3584.470885,One-way
25,10,Long Haul,2022-11-01,4,2022-09-11,69072.29552,One-way
26,10,Long Haul,2022-11-02,2,2022-08-24,25327.82054,Round-Trip
27,11,Domestic,2022-06-05,3,2022-05-29,9166.991668,Round-Trip
28,11,Domestic,2022-06-10,1,2022-05-16,1319.762765,Round-Trip
29,12,Long Haul,2022-12-06,2,2022-10-06,32546.19181,Round-Trip
30,12,Domestic,2022-04-28,1,2022-04-10,2978.576924,One-way
31,12,Short Haul,2022-11-12,2,2022-09-06,6642.419058,One-way
32,12,Domestic,2022-04-21,3,2022-04-10,3951.186765,One-way
33,13,Short Haul,2022-11-21,1,2022-09-21,10816.85358,Open Jaw
34,13,Domestic,2022-06-01,1,2022-05-20,2959.703775,Round-Trip
35,14,Short Haul,2022-04-11,1,2022-01-31,8036.310671,Round-Trip
36,14,Domestic,2022-11-11,1,2022-11-02,1000,Open Jaw
37,15,Domestic,2022-05-29,1,2022-05-20,2390.034111,Round-Trip
38,16,Domestic,2022-11-23,2,2022-11-11,8256.329586,One-way
39,16,Short Haul,2022-06-02,2,2022-04-07,13298.92207,Round-Trip
40,17,Domestic,2022-05-09,1,2022-04-29,3948.998942,One-way
41,17,Domestic,2022-12-07,3,2022-11-22,4960.70844,One-way
42,18,Domestic,2022-05-14,2,2022-04-28,1605.109541,One-way
43,18,Domestic,2022-12-01,2,2022-11-21,1000,One-way
